id,wt_new_W1_W13,countryOfBirth,euRefVoteW1,euRefVoteW2,euRefVoteW3,euRefVoteW4,euRefVoteW6,euRefVoteW7,euRefVoteW8,euRefVoteW9,euRefVoteW10,euRefVoteW11,euRefVoteW12,euRefVoteW13
19698,2.6346785238420027,England,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
19712,1.3195507100421349,England,Don't know,Don't know,Don't know,Leave the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Don't know,Don't know,Don't know
19714,0.17392433038535973,Scotland,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
19724,0.10137746899201357,Scotland,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
19726,0.9003542682738359,Scotland,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Don't know,Leave the EU,Leave the EU,Leave the EU,Don't know,I would/will not vote,Leave the EU,Don't know
19749,0.17666035005161498,England,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
19750,2.8509431985240603,England,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
19757,0.9348132759599724,England,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU
19769,0.7133446343417108,England,Leave the EU,Don't know,Leave the EU,Leave the EU,Don't know,Leave the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
19771,0.37655557227706615,Wales,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
19773,1.1305419648146853,England,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
19774,0.26886191560096745,England,Leave the EU,Leave the EU,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
19779,0.9475500345147081,Scotland,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
19784,0.9005470397566834,England,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
19792,0.4870060082548769,England,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
