"id","num_wave_voted","num_bi_switch","bi_switch_ratio","bi_ifswitch"
1062,2,0,0,0
1063,8,0,0,0
1064,11,2,0.2,1
1065,10,1,0.111111111111111,1
1066,10,0,0,0
1067,2,0,0,0
1068,5,1,0.25,1
1069,4,1,0.333333333333333,1
1070,12,1,0.0909090909090909,1
1071,11,0,0,0
1072,12,0,0,0
1073,12,0,0,0
1074,2,0,0,0
1075,12,1,0.0909090909090909,1
1076,11,0,0,0
1077,10,0,0,0
1078,12,0,0,0
1079,5,0,0,0
1080,3,0,0,0
1081,8,0,0,0
1082,11,1,0.1,1
1083,12,0,0,0
1084,5,0,0,0
1085,9,0,0,0
1086,1,0,0,0
1087,11,0,0,0
1088,10,0,0,0
1089,6,0,0,0
1090,9,3,0.375,1
1091,12,0,0,0
1092,12,0,0,0
1093,7,2,0.333333333333333,1
1094,10,0,0,0
1095,6,0,0,0
1096,8,0,0,0
1097,10,0,0,0
1098,10,0,0,0
1099,9,0,0,0
1100,11,0,0,0
1101,10,1,0.111111111111111,1
1102,2,0,0,0
1103,11,2,0.2,1
1104,11,1,0.1,1
1105,11,0,0,0
1106,7,0,0,0
1107,12,1,0.0909090909090909,1
1108,5,0,0,0
1109,5,0,0,0
1110,12,1,0.0909090909090909,1
1111,7,1,0.166666666666667,1
1112,6,0,0,0
1113,9,0,0,0
1114,11,0,0,0
1115,11,0,0,0
1116,11,0,0,0
1117,2,1,1,1
1118,8,0,0,0
1119,1,0,0,0
1120,4,0,0,0
1121,8,0,0,0
1122,3,0,0,0
1123,11,0,0,0
1124,10,0,0,0
1125,9,0,0,0
1126,9,0,0,0
1127,12,2,0.181818181818182,1
1128,5,0,0,0
1129,11,0,0,0
1130,4,0,0,0
1131,3,2,1,1
1132,11,3,0.3,1
1133,5,0,0,0
1134,6,0,0,0
1135,10,1,0.111111111111111,1
1136,5,0,0,0
1137,10,1,0.111111111111111,1
1138,11,0,0,0
1139,12,0,0,0
1140,10,0,0,0
1141,2,0,0,0
