"","id","num_wave_present","num_switch","switch_ratio","ifswitch"
"38613",39474,3,1,0.333333333333333,1
"38614",39475,10,2,0.2,1
"38615",39476,3,0,0,0
"38616",39477,7,3,0.428571428571429,1
"38617",39478,8,0,0,0
"38618",39479,10,1,0.1,1
"38619",39480,10,1,0.1,1
"38620",39481,2,0,0,0
"38621",39482,7,0,0,0
"38622",39483,4,1,0.25,1
"38623",39484,2,0,0,0
"38624",39485,3,0,0,0
"38625",39486,1,0,0,0
"38626",39487,4,0,0,0
"38627",39488,3,0,0,0
"38628",39489,2,0,0,0
"38629",39490,10,2,0.2,1
"38630",39491,3,0,0,0
"38631",39492,4,0,0,0
"38632",39493,1,0,0,0
"38633",39494,2,0,0,0
"38634",39495,3,0,0,0
"38635",39496,6,0,0,0
"38636",39497,2,0,0,0
"38637",39498,2,0,0,0
"38638",39499,5,0,0,0
"38639",39500,2,0,0,0
"38640",39501,3,1,0.333333333333333,1
"38641",39502,10,0,0,0
"38642",39503,6,0,0,0
"38643",39504,5,2,0.4,1
"38644",39505,5,0,0,0
"38645",39506,8,0,0,0
"38646",39507,3,1,0.333333333333333,1
"38647",39508,6,1,0.166666666666667,1
"38648",39509,2,0,0,0
"38649",39510,4,1,0.25,1
"38650",39511,8,3,0.375,1
"38651",39512,6,1,0.166666666666667,1
"38652",39513,6,0,0,0
"38653",39514,3,0,0,0
"38654",39515,6,0,0,0
"38655",39516,2,0,0,0
"38656",39517,8,1,0.125,1
"38657",39518,3,0,0,0
"38658",39519,8,0,0,0
"38659",39520,2,0,0,0
"38660",39521,7,1,0.142857142857143,1
"38661",39522,10,0,0,0
"38662",39523,9,2,0.222222222222222,1
"38663",39524,5,0,0,0
"38664",39525,3,0,0,0
"38665",39526,2,0,0,0
"38666",39527,3,0,0,0
"38667",39528,9,0,0,0
"38668",39529,5,1,0.2,1
"38669",39530,5,0,0,0
"38670",39531,10,6,0.6,1
"38671",39532,2,0,0,0
"38672",39533,8,2,0.25,1
"38673",39534,7,3,0.428571428571429,1
"38674",39535,5,0,0,0
"38675",39536,5,0,0,0
"38676",39537,2,0,0,0
"38677",39538,3,0,0,0
"38678",39539,3,0,0,0
"38679",39540,4,0,0,0
"38680",39541,3,1,0.333333333333333,1
"38681",39542,3,0,0,0
"38682",39543,3,0,0,0
"38683",39544,3,1,0.333333333333333,1
"38684",39545,2,0,0,0
"38685",39546,10,0,0,0
"38686",39547,8,0,0,0
"38687",39548,3,0,0,0
"38688",39549,10,0,0,0
"38689",39550,5,0,0,0
"38690",39551,3,0,0,0
"38691",39552,3,0,0,0
"38692",39553,10,4,0.4,1
"38693",39554,3,0,0,0
"38694",39555,10,0,0,0
"38695",39556,6,2,0.333333333333333,1
"38696",39557,6,0,0,0
"38697",39558,7,1,0.142857142857143,1
"38698",39559,9,3,0.333333333333333,1
"38699",39560,4,0,0,0
"38700",39561,8,1,0.125,1
"38701",39562,5,2,0.4,1
"38702",39563,10,2,0.2,1
"38703",39564,4,1,0.25,1
"38704",39565,9,3,0.333333333333333,1
